Sample_ID,Sample Name,Source Plate Barcode,Source Plate Name,Source Well,Destination Plate Barcode,Destination Plate Name,Destination Well,Volume
NRC1124_run1_c17606,NRC1124_run1_c17606,Plate_Source,Plate_Source,A1,Plate_Destination,Plate_Destination,A1,100
NRC1124_run1_c17356,NRC1124_run1_c17356,Plate_Source,Plate_Source,A2,Plate_Destination,Plate_Destination,A2,100
NRC1124_run1_c27812,NRC1124_run1_c27812,Plate_Source,Plate_Source,A3,Plate_Destination,Plate_Destination,A3,100
NRC1124_run1_c28386,NRC1124_run1_c28386,Plate_Source,Plate_Source,A4,Plate_Destination,Plate_Destination,A4,100
NRC1124_run1_c28409,NRC1124_run1_c28409,Plate_Source,Plate_Source,A5,Plate_Destination,Plate_Destination,A5,100
NRC1124_run1_c26143,NRC1124_run1_c26143,Plate_Source,Plate_Source,A6,Plate_Destination,Plate_Destination,A6,100
NRC1124_run1_c28274,NRC1124_run1_c28274,Plate_Source,Plate_Source,A7,Plate_Destination,Plate_Destination,A7,100
NRC1124_run1_c25985,NRC1124_run1_c25985,Plate_Source,Plate_Source,A8,Plate_Destination,Plate_Destination,A8,100
NRC1124_run1_c28278,NRC1124_run1_c28278,Plate_Source,Plate_Source,A9,Plate_Destination,Plate_Destination,A9,100
NRC1124_run1_c25823,NRC1124_run1_c25823,Plate_Source,Plate_Source,A10,Plate_Destination,Plate_Destination,A10,100
NRC1124_run1_c25762,NRC1124_run1_c25762,Plate_Source,Plate_Source,A11,Plate_Destination,Plate_Destination,A11,100
NRC1124_run1_c27992,NRC1124_run1_c27992,Plate_Source,Plate_Source,A12,Plate_Destination,Plate_Destination,A12,100
NRC1124_run1_c25896,NRC1124_run1_c25896,Plate_Source,Plate_Source,A13,Plate_Destination,Plate_Destination,A13,100
NRC1124_run1_c25825,NRC1124_run1_c25825,Plate_Source,Plate_Source,A14,Plate_Destination,Plate_Destination,A14,100
NRC1124_run1_c26149,NRC1124_run1_c26149,Plate_Source,Plate_Source,A15,Plate_Destination,Plate_Destination,A15,100
NRC1124_run1_c28070,NRC1124_run1_c28070,Plate_Source,Plate_Source,A16,Plate_Destination,Plate_Destination,A16,100
NRC1124_run1_c26060,NRC1124_run1_c26060,Plate_Source,Plate_Source,A17,Plate_Destination,Plate_Destination,A17,100
NRC1124_run1_c25934,NRC1124_run1_c25934,Plate_Source,Plate_Source,A18,Plate_Destination,Plate_Destination,A18,100
NRC1124_run1_c17631,NRC1124_run1_c17631,Plate_Source,Plate_Source,A19,Plate_Destination,Plate_Destination,A19,100
NRC1124_run1_c25801,NRC1124_run1_c25801,Plate_Source,Plate_Source,A20,Plate_Destination,Plate_Destination,A20,100
NRC1124_run1_c25788,NRC1124_run1_c25788,Plate_Source,Plate_Source,A21,Plate_Destination,Plate_Destination,A21,100
NRC1124_run1_c17467,NRC1124_run1_c17467,Plate_Source,Plate_Source,A22,Plate_Destination,Plate_Destination,A22,100
NRC1124_run1_c27760,NRC1124_run1_c27760,Plate_Source,Plate_Source,A23,Plate_Destination,Plate_Destination,A23,100
NRC1124_run1_c27917,NRC1124_run1_c27917,Plate_Source,Plate_Source,A24,Plate_Destination,Plate_Destination,A24,100
NRC1124_run1_c2393,NRC1124_run1_c2393,Plate_Source,Plate_Source,B1,Plate_Destination,Plate_Destination,B1,100
NRC1124_run1_c27656,NRC1124_run1_c27656,Plate_Source,Plate_Source,B2,Plate_Destination,Plate_Destination,B2,100
NRC1124_run1_c27932,NRC1124_run1_c27932,Plate_Source,Plate_Source,B3,Plate_Destination,Plate_Destination,B3,100
NRC1124_run1_c27711,NRC1124_run1_c27711,Plate_Source,Plate_Source,B4,Plate_Destination,Plate_Destination,B4,100
NRC1124_run1_c17636,NRC1124_run1_c17636,Plate_Source,Plate_Source,B5,Plate_Destination,Plate_Destination,B5,100
NRC1124_run1_c25778,NRC1124_run1_c25778,Plate_Source,Plate_Source,B6,Plate_Destination,Plate_Destination,B6,100
NRC1124_run1_c28377,NRC1124_run1_c28377,Plate_Source,Plate_Source,B7,Plate_Destination,Plate_Destination,B7,100
NRC1124_run1_c26031,NRC1124_run1_c26031,Plate_Source,Plate_Source,B8,Plate_Destination,Plate_Destination,B8,100
NRC1124_run1_c28303,NRC1124_run1_c28303,Plate_Source,Plate_Source,B9,Plate_Destination,Plate_Destination,B9,100
NRC1124_run1_c25848,NRC1124_run1_c25848,Plate_Source,Plate_Source,B10,Plate_Destination,Plate_Destination,B10,100
NRC1124_run1_c25794,NRC1124_run1_c25794,Plate_Source,Plate_Source,B11,Plate_Destination,Plate_Destination,B11,100
NRC1124_run1_c28028,NRC1124_run1_c28028,Plate_Source,Plate_Source,B12,Plate_Destination,Plate_Destination,B12,100
NRC1124_run1_c27843,NRC1124_run1_c27843,Plate_Source,Plate_Source,B13,Plate_Destination,Plate_Destination,B13,100
NRC1124_run1_c2584,NRC1124_run1_c2584,Plate_Source,Plate_Source,B14,Plate_Destination,Plate_Destination,B14,100
NRC1124_run1_c26162,NRC1124_run1_c26162,Plate_Source,Plate_Source,B15,Plate_Destination,Plate_Destination,B15,100
NRC1124_run1_c28079,NRC1124_run1_c28079,Plate_Source,Plate_Source,B16,Plate_Destination,Plate_Destination,B16,100
NRC1124_run1_c26061,NRC1124_run1_c26061,Plate_Source,Plate_Source,B17,Plate_Destination,Plate_Destination,B17,100
NRC1124_run1_c26040,NRC1124_run1_c26040,Plate_Source,Plate_Source,B18,Plate_Destination,Plate_Destination,B18,100
NRC1124_run1_c25998,NRC1124_run1_c25998,Plate_Source,Plate_Source,B19,Plate_Destination,Plate_Destination,B19,100
NRC1124_run1_c26093,NRC1124_run1_c26093,Plate_Source,Plate_Source,B20,Plate_Destination,Plate_Destination,B20,100
NRC1124_run1_c25878,NRC1124_run1_c25878,Plate_Source,Plate_Source,B21,Plate_Destination,Plate_Destination,B21,100
NRC1124_run1_c17568,NRC1124_run1_c17568,Plate_Source,Plate_Source,B22,Plate_Destination,Plate_Destination,B22,100
NRC1124_run1_c27761,NRC1124_run1_c27761,Plate_Source,Plate_Source,B23,Plate_Destination,Plate_Destination,B23,100
NRC1124_run1_c26339,NRC1124_run1_c26339,Plate_Source,Plate_Source,B24,Plate_Destination,Plate_Destination,B24,100
NRC1124_run1_c26115,NRC1124_run1_c26115,Plate_Source,Plate_Source,C1,Plate_Destination,Plate_Destination,C1,100
NRC1124_run1_c25908,NRC1124_run1_c25908,Plate_Source,Plate_Source,C2,Plate_Destination,Plate_Destination,C2,100
NRC1124_run1_c2687,NRC1124_run1_c2687,Plate_Source,Plate_Source,C3,Plate_Destination,Plate_Destination,C3,100
NRC1124_run1_c17513,NRC1124_run1_c17513,Plate_Source,Plate_Source,C4,Plate_Destination,Plate_Destination,C4,100
NRC1124_run1_c25826,NRC1124_run1_c25826,Plate_Source,Plate_Source,C5,Plate_Destination,Plate_Destination,C5,100
NRC1124_run1_c27901,NRC1124_run1_c27901,Plate_Source,Plate_Source,C6,Plate_Destination,Plate_Destination,C6,100
NRC1124_run1_c17348,NRC1124_run1_c17348,Plate_Source,Plate_Source,C7,Plate_Destination,Plate_Destination,C7,100
NRC1124_run1_c26078,NRC1124_run1_c26078,Plate_Source,Plate_Source,C8,Plate_Destination,Plate_Destination,C8,100
NRC1124_run1_c28311,NRC1124_run1_c28311,Plate_Source,Plate_Source,C9,Plate_Destination,Plate_Destination,C9,100
NRC1124_run1_c25917,NRC1124_run1_c25917,Plate_Source,Plate_Source,C10,Plate_Destination,Plate_Destination,C10,100
NRC1124_run1_c25838,NRC1124_run1_c25838,Plate_Source,Plate_Source,C11,Plate_Destination,Plate_Destination,C11,100
NRC1124_run1_c28035,NRC1124_run1_c28035,Plate_Source,Plate_Source,C12,Plate_Destination,Plate_Destination,C12,100
NRC1124_run1_c17429,NRC1124_run1_c17429,Plate_Source,Plate_Source,C13,Plate_Destination,Plate_Destination,C13,100
NRC1124_run1_c25864,NRC1124_run1_c25864,Plate_Source,Plate_Source,C14,Plate_Destination,Plate_Destination,C14,100
NRC1124_run1_c26247,NRC1124_run1_c26247,Plate_Source,Plate_Source,C15,Plate_Destination,Plate_Destination,C15,100
NRC1124_run1_c28146,NRC1124_run1_c28146,Plate_Source,Plate_Source,C16,Plate_Destination,Plate_Destination,C16,100
NRC1124_run1_c2608,NRC1124_run1_c2608,Plate_Source,Plate_Source,C17,Plate_Destination,Plate_Destination,C17,100
NRC1124_run1_c26054,NRC1124_run1_c26054,Plate_Source,Plate_Source,C18,Plate_Destination,Plate_Destination,C18,100
NRC1124_run1_c26059,NRC1124_run1_c26059,Plate_Source,Plate_Source,C19,Plate_Destination,Plate_Destination,C19,100
NRC1124_run1_c26412,NRC1124_run1_c26412,Plate_Source,Plate_Source,C20,Plate_Destination,Plate_Destination,C20,100
NRC1124_run1_c2637,NRC1124_run1_c2637,Plate_Source,Plate_Source,C21,Plate_Destination,Plate_Destination,C21,100
NRC1124_run1_c2307,NRC1124_run1_c2307,Plate_Source,Plate_Source,C22,Plate_Destination,Plate_Destination,C22,100
NRC1124_run1_c27849,NRC1124_run1_c27849,Plate_Source,Plate_Source,C23,Plate_Destination,Plate_Destination,C23,100
NRC1124_run1_c17337,NRC1124_run1_c17337,Plate_Source,Plate_Source,C24,Plate_Destination,Plate_Destination,C24,100
NRC1124_run1_c28113,NRC1124_run1_c28113,Plate_Source,Plate_Source,D1,Plate_Destination,Plate_Destination,D1,100
NRC1124_run1_c2575,NRC1124_run1_c2575,Plate_Source,Plate_Source,D2,Plate_Destination,Plate_Destination,D2,100
NRC1124_run1_c17507,NRC1124_run1_c17507,Plate_Source,Plate_Source,D3,Plate_Destination,Plate_Destination,D3,100
NRC1124_run1_c25872,NRC1124_run1_c25872,Plate_Source,Plate_Source,D4,Plate_Destination,Plate_Destination,D4,100
NRC1124_run1_c27768,NRC1124_run1_c27768,Plate_Source,Plate_Source,D5,Plate_Destination,Plate_Destination,D5,100
NRC1124_run1_c17286,NRC1124_run1_c17286,Plate_Source,Plate_Source,D6,Plate_Destination,Plate_Destination,D6,100
NRC1124_run1_c17360,NRC1124_run1_c17360,Plate_Source,Plate_Source,D7,Plate_Destination,Plate_Destination,D7,100
